Feature,County,Cnty ID,Type,Prefecture,Pref ID
雒水,上雒侯国,200093,river,京兆尹,212275
菟和山,上雒侯国,200093,mount,京兆尹,212275
苍野聚,上雒侯国,200093,sett,京兆尹,212275
河水祠,临晋,70295,shrine,左冯翊,hvd_116218
芮乡,临晋,70295,admin,左冯翊,hvd_116218
王城,临晋,70295,walled,左冯翊,hvd_116218
梁山,夏阳,70312,mount,左冯翊,hvd_116218
龙门山,夏阳,70312,mount,左冯翊,hvd_116218
丰水,鄠,70747,river,右扶风,hvd_116125
甘亭,鄠,70747,admin,右扶风,hvd_116125
邰亭,郿,70930,admin,右扶风,hvd_116125
太一山,武功,70249,mount,右扶风,hvd_116125
垂山,武功,70249,mount,右扶风,hvd_116125
斜谷,武功,70249,valley,右扶风,hvd_116125
吴岳山,汧,qian,mount,右扶风,hvd_116125
汧水,汧,qian,river,右扶风,hvd_116125
回城,汧,qian,walled,右扶风,hvd_116125
铁,雍,yong,resource,右扶风,hvd_116125
豳乡,栒邑,70415,admin,右扶风,hvd_116125
岐山,美阳,85552,mount,右扶风,hvd_116125
周城,美阳,85552,walled,右扶风,hvd_116125
漆水,漆,70203,river,右扶风,hvd_116125
铁,漆,70203,resource,右扶风,hvd_116125
